7zip 24.09+dfsg-8
accountsservice 23.13.9-7
acl 2.3.2-2+b1
adduser 3.152
adwaita-icon-theme 48.1-1
aglfn 1.7+git20191031.4036a9c-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.14-1
alsa-utils 1.2.14-1
anacron 2.3-43
apparmor 4.1.0-1
apt 3.0.3
apt-file 3.3
apt-listchanges 4.8
apt-transport-https 3.0.3
apt-utils 3.0.3
arch-test 0.22-1
aspell 0.60.8.1-4
aspell-en 2020.12.07-0-1
at-spi2-common 2.56.2-1
at-spi2-core 2.56.2-1
atril 1.26.2-4
atril-common 1.26.2-4
autoconf 2.72-3.1
automake 1:1.17-4
autopoint 0.23.1-2
autotools-dev 20240727.1
avahi-daemon 0.8-16
base-files 13.8
base-passwd 3.6.7
bash 5.2.37-2+b5
bash-completion 1:2.16.0-7
bc 1.07.1-4
bind9-dnsutils 1:9.20.11-4
bind9-host 1:9.20.11-4
bind9-libs:amd64 1:9.20.11-4
binutils 2.44-3
binutils-common:amd64 2.44-3
binutils-x86-64-linux-gnu 2.44-3
bison 2:3.8.2+dfsg-1+b2
bluetooth 5.82-1.1
bluez 5.82-1.1
bpftool 7.5.0+6.12.38-1
bsdextrautils 2.41-5
bsdutils 1:2.41-5
btrfs-progs 6.14-1
bubblewrap 0.11.0-2
build-essential 12.12
busybox 1:1.37.0-6+b3
bzip2 1.0.8-6
ca-certificates 20250419
ca-certificates-java 20240118
caja 1.26.4-1
caja-common 1.26.4-1
clang 1:19.0-63
clang-19 1:19.1.7-3+b1
clang-format:amd64 1:19.0-63
clang-format-19 1:19.1.7-3+b1
clang-tools-19 1:19.1.7-3+b1
cloc 2.04-1
coinor-libcbc3.1:amd64 2.10.12+ds-1
coinor-libcgl1:amd64 0.60.9+ds-1
coinor-libclp1:amd64 1.17.10+ds-1
coinor-libcoinmp0:amd64 1.8.4+dfsg-2
coinor-libcoinutils3v5:amd64 2.11.11+ds-5
coinor-libosi1v5:amd64 0.108.10+ds-2
colord 1.4.7-3
colord-data 1.4.7-3
console-setup 1.240
console-setup-linux 1.240
containerd.io 1.7.27-1
coreutils 9.7-3
cpio 2.15+dfsg-2
cpp 4:14.2.0-1
cpp-14 14.2.0-19
cpp-14-x86-64-linux-gnu 14.2.0-19
cpp-x86-64-linux-gnu 4:14.2.0-1
cron 3.0pl1-197
cron-daemon-common 3.0pl1-197
cscope 15.9-2
cups 2.4.10-3
cups-browsed 1.28.17-6
cups-client 2.4.10-3
cups-common 2.4.10-3
cups-core-drivers 2.4.10-3
cups-daemon 2.4.10-3
cups-filters 1.28.17-6
cups-filters-core-drivers 1.28.17-6
cups-ipp-utils 2.4.10-3
cups-ppdc 2.4.10-3
cups-server-common 2.4.10-3
curl 8.14.1-2
dash 0.5.12-12
dbus 1.16.2-2
dbus-bin 1.16.2-2
dbus-daemon 1.16.2-2
